	WT_01	WT_02	WT_03	WT_04	WT_08	WT_14	WT_16	WT_15	WT_30	WT_180	gene_length
b1159	0.414633484660342	0.44882987971852	0.280599764650774	0.236708172845437	0.337322869251128	0.292765394396296	0	0	0.126062383256843	0	834
b1160	0	0.192533918378003	0.180552725961695	0	0	0	0	0	0	0	324
b1161	0.640364933461041	0	0.288907764354779	0	0	0	0	0	0	0	405
b1162	1.88962553674335	1.44893315632234	0.879185292620345	1.95531019258083	0.538028569771358	0.555904265701056	0.521724281053798	0.240011815019098	0.143620696854752	0.421428752264198	732
b1163	0.570596538523407	0.411770531851854	0.386146465115744	0.040718148998642	0.37136462669849	0.335740131188412	0.236322766399735	0.144955891208459	0	0.084841073845282	1212
b1164	1.45908451222114	1.05294716152481	1.23432302644649	1.66598923569594	0.237392024248626	0.686781873204321	2.01442480918594	1.48267913692434	1.77444106941262	5.20687666779915	237
b1165	0.950043236641472	0.228532645177779	0.642933864417713	0.180788581553969	0.618322103452986	0	0	0.32180207848278	1.54050545411114	1.13008310361915	273
b1166	6.15215458755517	4.43969739653178	6.13551628844815	0.55450715636332	0.421442583935104	0.609622686691202	1.07276213353576	0.329005947015564	16.538774873604	20.4133793931663	267
b1167	1.04159804486818	1.0022245187376	0	0.198211013792176	0	0	0	0.352813853995862	0.422240643168875	8.67302017562365	249
b1168	0	0.12278248586128	0	0.06475419574087	0.036911393199123	0	0.062637468589182	0.115261896524545	0.20691473748913	0.134923016830314	1524
b1171	0.523911367189673	2.26866846208014	1.41832766777816	1.94425459818605	0	0	0.289316356440887	0	0.318572995219544	0.311598125759034	330
b1172	1.75406563183355	0.542476480977556	1.01749593557998	1.14445144118849	0.652363860900347	1.17952629846848	0	0	0	0	345
b1174	22.6658235905695	9.58040292880408	9.4224418051455	14.4183705934172	9.27252458971984	4.26768437302624	6.43705022094469	0.987017841046691	1.96884419421821	0	267
b1175	14.1430997475125	18.0338023898245	11.8021571569815	14.9947915172416	11.4887836679623	12.7142549413511	15.737759466978	4.43037914766219	4.00897303885189	0.252980656556839	813
b1176	11.055135025849	6.45406636045614	6.72491621111118	4.11292789151977	3.31459809538707	3.27430054244331	3.01815204974918	0.757284716495103	1.05738898116269	0.147674887323423	696
b1177	3.04577515942115	3.04335856723234	2.69541934058823	2.00629425066034	1.67733023058818	1.32342655348451	0.517522987428914	0.47615813960597	0.284928322457084	0	369
b1178	4.08607639397451	4.19032666686332	0.727652058582501	6.01592143205386	35.8319037501513	29.1551032515731	32.5405468678642	22.5092778991812	15.6924010744233	3.06970430822019	402
b1179	4.7588615853062	6.48694561352977	5.18869685739238	4.67893484026694	3.95762157325227	2.98682559859907	5.54790371560557	3.76121004261077	5.4658925090688	1.25791032154604	327
b1180	0.392933525392255	1.22882309020517	0.70916383388908	0.822555965104681	0.852506887743761	0.739849161818829	0.433974534661331	1.33104648951477	1.5929701157001	1.71389252933995	660
b1181	0.561345958277648	0.540168070420204	0.759830930675479	1.2819553964736	0.60892545305016	0	0.206627259187485	0.190111847621276	1.13782077698545	1.11290921351956	462
b1182	0	0.068378864077217	0	0.162329687341251	0	0.089205135462424	0	0.288945409808862	0.230466008422852	0.338233081063189	912
b1183	0.20576056995238	1.03978298240045	0.139246755602344	0.352495781997938	0.267888937532047	0	0	0.209087891561293	0	0	420
b1184	0.204377305616566	0.04916290592413	0.092207095306426	0.038892001710218	0.088677371466185	0	0.225724048391504	0	0	0.081036080230402	1269
b1185	4.72151344823921	3.52481814212639	2.424005181244	3.90380934932916	0.953675614835258	1.37950532933634	2.33763796646396	0.496276260264598	0.593933613859804	0.193643323697776	531
b1186	1.7379851839297	2.79174181648104	2.27650893297782	5.05714475029918	1.0217028623623	0.791695577229015	1.73379749183288	0.05692813182005	0.136366064290346	0	1542
b1187	2.04126588955699	1.64633345371314	1.70641633357057	4.11292789151977	0.859596576071641	2.4869187172029	2.25447144948046	1.09815069097318	0.584050491235831	0.285580196446481	720
b1188	4.45514860957397	3.29647266537218	1.64106396970174	1.54536480399572	0.587262516492748	0.318485123234002	0.871959395055506	23.553223872048	39.230108999438	27.7721342066776	1533
b1189	0.199622334462204	0.576291576169026	0.900774390442726	0.987846972373106	0.649719294619312	1.12776127460525	0.587990139591744	1.42021632562179	4.45161076488301	4.59159891650664	1299
b1190	0.645725082762322	0.932036359899218	0.382343507504755	0.599075021267288	0.367707247799187	0.151958018164549	0.267450532802286	0.246073606833269	1.96337693489431	2.78453546243477	1071
b1191	0.547426860898517	0.538733112506175	0.168383261606532	0.767179282466528	0.550632460132034	0.421689604772646	0.054903268961555	0.10111771562481	0.060455271370046	0.118366152722326	1737
b1192	1.13375803124181	0.54547117575466	0.575475247102796	1.13270487214403	0.614889794024409	0.800567255847085	0.521724281053798	0	0	0.224700298608412	915
b1193	10.7361196884019	10.0923709567399	8.31712680227177	7.01615659278898	1.56293867209151	3.98973224017571	1.24807065842866	0.28701266459275	0.515289191277553	1.51222786775135	612
b1194	0.117577468544217	0.084849685351291	0.397964887229892	0.537183434789353	0	0.22146639926392	0.649481800828685	0.119478795177882	0	0	735
b1195	0.338986216295497	0.244629129604715	1.37661214813763	0.193522257240817	0	0	0.374392552344792	2.06707100863263	16.4924083089532	33.8758581532703	255
b1196	0	0	0	0.111888537915055	0.127558122534163	0	0	0.398409070685069	0.47680809680549	0	441
b1197	0.509127729600658	0.440906416454098	0.895859799068525	0.406885357993699	0.231934089583511	0.623133683485694	0.393584825494831	2.06953086618041	4.76776554924775	0.484468241072874	1698
b1198	5.90973751270371	5.8915628581567	2.26767436991229	4.38245736022471	3.96527393525697	2.1795842359017	2.2204791646973	1.60962535680084	0.296283399514415	0.144898270361214	1419
b1199	1.638908875877	1.4783809882972	2.58794190779768	1.32548679940306	1.42221398551985	1.80005545245162	2.26258758489217	0.416330889961751	0	0	633
b1200	2.26016747069961	1.74759157086398	1.69342777065304	2.76498441600231	1.68115641159053	1.67186376599786	1.24807065842866	0.902240607703562	0	0.191997921053504	1071
b1201	0.540337631177468	0.422376742520765	0.091387996744059	0.334135598449459	0.205094555199393	0.254348584233646	0.049651651930449	0	0.109450326080378	0	1920
b1202	0.180861811907722	0.065259390351067	0.061198364016829	0.12042701037174	0.117711333189885	0.085135558114686	0.166428517913025	0.030572515236693	0	0.143355705382209	2868
b1203	10.4504756030562	11.3123347415628	9.32251178053676	11.1636825721246	7.78053906827482	6.85715643939214	6.64539619116054	0.965406235448339	0.288818487745244	0.094096463719312	1092
b1204	3.39902628917974	4.47918993390485	4.300501480586	4.89333440299434	2.9816640808151	1.94778111017452	1.95856670076418	0	0	0	585
b1205	1.23940484488963	3.80145307216141	0.83875692786353	1.41516543786431	3.42842698020692	1.75032521726226	2.05338225916214	112.097904753713	69.7161778271175	141.908573756572	279
b1206	0.20576056995238	0.297036288204042	0.41785728088737	0.470010827774624	0.435396891120139	0.290649214175472	0.340973171237758	0.15681591867097	0	0.06118841083387	1680
b1207	42.6797565413409	46.1339593255129	39.6218452080846	46.8042537129695	52.8841796649984	29.7919921064941	37.8712246062741	2.13137871309602	0.887167964905121	0.108390899191426	948
b1208	3.45003416156289	3.51489821567723	3.22748236388559	4.34465117582113	3.50016787400095	5.15859624599311	2.57758912281246	0.412377547474247	0.493525293584337	0.362091419405135	852
b1209	2.35526689378684	3.1994570324889	2.3440260573329	3.40107593635927	1.80342540156262	2.73906972966876	3.51934728240865	0.422304829720645	0	0.164745939757747	624
b1210	1.10038677914029	1.88603381483054	1.30324431976564	1.53129853434164	1.47713093637708	1.55400880600736	0.98749496973982	0.419317859841198	1.00366264434514	0.081755943887271	1257
b1211	2.87373165765425	1.84342180373132	1.83677001906722	2.27863697329611	1.14295903971612	1.12727292532352	1.32245265237831	0.243350193119656	0.097043852999221	0.094919165041448	1083
b1212	0.207316742330171	0.673244819577781	0.561199529301547	0.532593388902233	0.067464573850226	0.097588464798765	0.228970502556187	0	0	0	834
b1213	1.97979708063424	0.793718894881709	1.19096930968122	1.88374496100746	0.429488817513572	0.414201582452808	1.94367120518505	0.894158218618	0.802530584987057	0	393
b1214	3.62890753098788	3.54309825816163	4.33385049348236	5.91044908731435	1.31980737633936	2.3111129757806	3.18276637268782	0.325316160693894	0.778769034848569	0.126901678939488	810
b1215	6.67355878813618	11.6751919253886	7.11662084504299	9.81332068533324	4.8041078526541	5.52127697922355	4.3554047137606	1.33570264844449	0.491843059946214	0.240537299059532	855
b1216	1.41335033511828	1.24660409044423	0.850224307736665	1.92757249592964	1.58426400444283	0.813101554078119	0.867185197754501	0	0.095466758963481	0.093376600062443	1101
